"","file","minute","seconds","temp_detect_deb","temp_detect_fin","duration_detect","freq_detect_deb","freq_detect_fin","freq_detect_max","freq_detect_mean","ampl_detect_max","ampl_detect_mean"
"1","M0_1_1a.wav",1," 10",0.305265314484737,0.32780167998361,0.0225363654988732,81.54296875,83.49609375,85.44921875,84.033203125,54.32727092897,49.2953609526944
"2","M0_1_1a.wav",1," 10",1.53657037492317,1.54476541692276,0.0081950419995902,83.0078125,83.984375,84.47265625,83.6463341346154,56.5512127803983,51.0761006942549
"3","M0_1_1a.wav",1," 10",1.69227617291539,1.70047121491498,0.0081950419995902,82.03125,79.1015625,82.51953125,81.54296875,53.6721588816789,48.9330244338222
"4","M0_1_1a.wav",1," 20",4.41507887727925,4.42122515877894,0.00614628149969221,74.21875,74.70703125,75.1953125,74.8046875,48.4600625672094,46.9165987261981
"5","M0_1_1a.wav",1," 20",4.43761524277812,4.43966400327802,0.00204876049989799,79.1015625,80.078125,80.078125,79.58984375,48.0085164734975,46.6294107993326
"6","M0_1_1a.wav",1," 20",6.18520794919074,6.20774431468961,0.0225363654988726,79.58984375,79.1015625,80.56640625,79.9609375,57.332688872425,50.7433834732634
"7","M0_1_1a.wav",1," 30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","M0_1_1a.wav",1," 40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","M0_1_1a.wav",1," 50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","M0_1_1a.wav",1," 60",NA,NA,NA,NA,NA,NA,NA,NA,NA
