"","file","minute","seconds","temp_detect_deb","temp_detect_fin","duration_detect","freq_detect_deb","freq_detect_fin","freq_detect_max","freq_detect_mean","ampl_detect_max","ampl_detect_mean"
"1","B8_1_1a.wav",3,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","B8_1_1a.wav",3,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","B8_1_1a.wav",3,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","B8_1_1a.wav",3,"160",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","B8_1_1a.wav",3,"170",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","B8_1_1a.wav",3,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA
