"","file","minute","seconds","temp_detect_deb","temp_detect_fin","duration_detect","freq_detect_deb","freq_detect_fin","freq_detect_max","freq_detect_mean","ampl_detect_max","ampl_detect_mean"
"1","M3_1_1b.wav",3,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","M3_1_1b.wav",3,"140",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","M3_1_1b.wav",3,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","M3_1_1b.wav",3,"160",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","M3_1_1b.wav",3,"170",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","M3_1_1b.wav",3,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA
