"","file","minute","seconds","temp_detect_deb","temp_detect_fin","duration_detect","freq_detect_deb","freq_detect_fin","freq_detect_max","freq_detect_mean","ampl_detect_max","ampl_detect_mean"
"1","B1_1_4b.wav",1," 10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","B1_1_4b.wav",1," 20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","B1_1_4b.wav",1," 30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","B1_1_4b.wav",1," 40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","B1_1_4b.wav",1," 50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","B1_1_4b.wav",1," 60",NA,NA,NA,NA,NA,NA,NA,NA,NA
