"","file","minute","seconds","temp_detect_deb","temp_detect_fin","duration_detect","freq_detect_deb","freq_detect_fin","freq_detect_max","freq_detect_mean","ampl_detect_max","ampl_detect_mean"
"1","M3_1_1b.wav",2," 70",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","M3_1_1b.wav",2," 80",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","M3_1_1b.wav",2," 90",7.23417332513829,7.24646588813768,0.0122925629993853,80.56640625,73.2421875,81.0546875,77.7180989583333,48.8665999171982,47.5058387382151
"4","M3_1_1b.wav",2,"100",0.436385986478181,0.463019872976849,0.0266338864986683,73.2421875,79.58984375,83.0078125,80.146484375,67.6817653147905,56.4668956554623
"5","M3_1_1b.wav",2,"100",3.24113911083794,3.24523663183774,0.0040975209997951,67.87109375,66.89453125,68.359375,67.7490234375,48.400843961459,47.2870907103651
"6","M3_1_1b.wav",2,"100",4.01147305879943,4.05859455029707,0.0471214914976441,78.61328125,68.359375,83.49609375,78.10546875,64.8187126774606,54.2474375638225
"7","M3_1_1b.wav",2,"100",4.1979102642901,4.23273919278836,0.0348289284982579,76.66015625,76.171875,81.54296875,78.6872632575758,54.726555805622,49.469738855668
"8","M3_1_1b.wav",2,"100",4.37820118828109,4.41507887727925,0.0368776889981559,71.2890625,68.359375,77.1484375,73.5262784090909,59.8690276472846,51.9822565122482
"9","M3_1_1b.wav",2,"100",5.50092194222495,5.51321450522434,0.0122925629993853,79.58984375,81.0546875,81.54296875,80.9151785714286,50.3651260543236,47.211365316511
"10","M3_1_1b.wav",2,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","M3_1_1b.wav",2,"120",3.41938127432903,3.42962507682852,0.0102438024994882,72.265625,74.21875,74.70703125,73.8636363636364,56.6175694942188,51.0347205182442
"12","M3_1_1b.wav",2,"120",3.60786724031961,3.6160622823192,0.0081950419995902,71.77734375,75.1953125,75.68359375,74.0443638392857,56.7499592111389,50.815658522094
