"","file","minute","seconds","temp_detect_deb","temp_detect_fin","duration_detect","freq_detect_deb","freq_detect_fin","freq_detect_max","freq_detect_mean","ampl_detect_max","ampl_detect_mean"
"1","M8_1_1a.wav",1," 10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","M8_1_1a.wav",1," 20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","M8_1_1a.wav",1," 30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","M8_1_1a.wav",1," 40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","M8_1_1a.wav",1," 50",1.91559106740422,1.91559106740422,0,68.84765625,68.84765625,68.84765625,68.84765625,45.5558305457148,45.5558305457148
"6","M8_1_1a.wav",1," 60",NA,NA,NA,NA,NA,NA,NA,NA,NA
